Company,Role,Question ID,Question,Category,Difficulty
Google,Software Engineer,1,Explain the difference between a process and a thread.,Coding,Medium
Google,Software Engineer,2,How would you design a scalable chat application?,System Design,Hard
Google,Software Engineer,3,Describe a time you optimized code for performance.,Behavioral,Medium
Google,Software Engineer,4,Explain memory management in programming languages.,Coding,Medium
Google,Software Engineer,5,How do you handle merge conflicts in Git?,Coding,Easy
Google,Data Scientist,6,Explain bias-variance tradeoff.,Coding,Medium
Google,Data Scientist,7,How would you handle missing values?,Coding,Medium
Google,Data Scientist,8,Describe a predictive model you built.,Behavioral,Medium
Google,Data Scientist,9,How do you evaluate a machine learning model?,Coding,Hard
Google,Data Scientist,10,Explain PCA and when to use it.,Coding,Medium
Google,AI Engineer,11,Explain supervised vs unsupervised learning.,Coding,Medium
Google,AI Engineer,12,Describe a neural network you implemented.,Coding,Hard
Google,AI Engineer,13,How do you prevent overfitting in deep learning?,Coding,Hard
Google,AI Engineer,14,What is reinforcement learning?,Coding,Medium
Google,AI Engineer,15,How do you optimize model performance?,Coding,Medium
Google,DevOps Engineer,16,Explain CI/CD pipeline.,System Design,Medium
Google,DevOps Engineer,17,How do you monitor server performance?,Coding,Medium
Google,DevOps Engineer,18,Describe a time you handled deployment failures.,Behavioral,Medium
Google,DevOps Engineer,19,How would you scale infrastructure for high traffic?,System Design,Hard
Google,DevOps Engineer,20,Explain containerization and orchestration.,Coding,Medium
Google,QA Engineer,21,Explain different testing strategies.,Coding,Medium
Google,QA Engineer,22,How do you write automated tests?,Coding,Medium
Google,QA Engineer,23,Describe a challenging bug you found.,Behavioral,Medium
Google,QA Engineer,24,Explain performance testing.,Coding,Hard
Google,QA Engineer,25,How do you ensure software quality in releases?,Behavioral,Medium
Amazon,Software Engineer,26,Explain the difference between a process and a thread.,Coding,Medium
Amazon,Software Engineer,27,How would you design a scalable chat application?,System Design,Hard
Amazon,Software Engineer,28,Describe a time you optimized code for performance.,Behavioral,Medium
Amazon,Software Engineer,29,Explain memory management in programming languages.,Coding,Medium
Amazon,Software Engineer,30,How do you handle merge conflicts in Git?,Coding,Easy
Amazon,Data Scientist,31,Explain bias-variance tradeoff.,Coding,Medium
Amazon,Data Scientist,32,How would you handle missing values?,Coding,Medium
Amazon,Data Scientist,33,Describe a predictive model you built.,Behavioral,Medium
Amazon,Data Scientist,34,How do you evaluate a machine learning model?,Coding,Hard
Amazon,Data Scientist,35,Explain PCA and when to use it.,Coding,Medium
Amazon,AI Engineer,36,Explain supervised vs unsupervised learning.,Coding,Medium
Amazon,AI Engineer,37,Describe a neural network you implemented.,Coding,Hard
Amazon,AI Engineer,38,How do you prevent overfitting in deep learning?,Coding,Hard
Amazon,AI Engineer,39,What is reinforcement learning?,Coding,Medium
Amazon,AI Engineer,40,How do you optimize model performance?,Coding,Medium
Amazon,DevOps Engineer,41,Explain CI/CD pipeline.,System Design,Medium
Amazon,DevOps Engineer,42,How do you monitor server performance?,Coding,Medium
Amazon,DevOps Engineer,43,Describe a time you handled deployment failures.,Behavioral,Medium
Amazon,DevOps Engineer,44,How would you scale infrastructure for high traffic?,System Design,Hard
Amazon,DevOps Engineer,45,Explain containerization and orchestration.,Coding,Medium
Amazon,QA Engineer,46,Explain different testing strategies.,Coding,Medium
Amazon,QA Engineer,47,How do you write automated tests?,Coding,Medium
Amazon,QA Engineer,48,Describe a challenging bug you found.,Behavioral,Medium
Amazon,QA Engineer,49,Explain performance testing.,Coding,Hard
Amazon,QA Engineer,50,How do you ensure software quality in releases?,Behavioral,Medium
Microsoft,Software Engineer,51,Explain the difference between a process and a thread.,Coding,Medium
Microsoft,Software Engineer,52,How would you design a scalable chat application?,System Design,Hard
Microsoft,Software Engineer,53,Describe a time you optimized code for performance.,Behavioral,Medium
Microsoft,Software Engineer,54,Explain memory management in programming languages.,Coding,Medium
Microsoft,Software Engineer,55,How do you handle merge conflicts in Git?,Coding,Easy
Microsoft,Data Scientist,56,Explain bias-variance tradeoff.,Coding,Medium
Microsoft,Data Scientist,57,How would you handle missing values?,Coding,Medium
Microsoft,Data Scientist,58,Describe a predictive model you built.,Behavioral,Medium
Microsoft,Data Scientist,59,How do you evaluate a machine learning model?,Coding,Hard
Microsoft,Data Scientist,60,Explain PCA and when to use it.,Coding,Medium
Microsoft,AI Engineer,61,Explain supervised vs unsupervised learning.,Coding,Medium
Microsoft,AI Engineer,62,Describe a neural network you implemented.,Coding,Hard
Microsoft,AI Engineer,63,How do you prevent overfitting in deep learning?,Coding,Hard
Microsoft,AI Engineer,64,What is reinforcement learning?,Coding,Medium
Microsoft,AI Engineer,65,How do you optimize model performance?,Coding,Medium
Microsoft,DevOps Engineer,66,Explain CI/CD pipeline.,System Design,Medium
Microsoft,DevOps Engineer,67,How do you monitor server performance?,Coding,Medium
Microsoft,DevOps Engineer,68,Describe a time you handled deployment failures.,Behavioral,Medium
Microsoft,DevOps Engineer,69,How would you scale infrastructure for high traffic?,System Design,Hard
Microsoft,DevOps Engineer,70,Explain containerization and orchestration.,Coding,Medium
Microsoft,QA Engineer,71,Explain different testing strategies.,Coding,Medium
Microsoft,QA Engineer,72,How do you write automated tests?,Coding,Medium
Microsoft,QA Engineer,73,Describe a challenging bug you found.,Behavioral,Medium
Microsoft,QA Engineer,74,Explain performance testing.,Coding,Hard
Microsoft,QA Engineer,75,How do you ensure software quality in releases?,Behavioral,Medium
Meta,Software Engineer,76,Explain the difference between a process and a thread.,Coding,Medium
Meta,Software Engineer,77,How would you design a scalable chat application?,System Design,Hard
Meta,Software Engineer,78,Describe a time you optimized code for performance.,Behavioral,Medium
Meta,Software Engineer,79,Explain memory management in programming languages.,Coding,Medium
Meta,Software Engineer,80,How do you handle merge conflicts in Git?,Coding,Easy
Meta,Data Scientist,81,Explain bias-variance tradeoff.,Coding,Medium
Meta,Data Scientist,82,How would you handle missing values?,Coding,Medium
Meta,Data Scientist,83,Describe a predictive model you built.,Behavioral,Medium
Meta,Data Scientist,84,How do you evaluate a machine learning model?,Coding,Hard
Meta,Data Scientist,85,Explain PCA and when to use it.,Coding,Medium
Meta,AI Engineer,86,Explain supervised vs unsupervised learning.,Coding,Medium
Meta,AI Engineer,87,Describe a neural network you implemented.,Coding,Hard
Meta,AI Engineer,88,How do you prevent overfitting in deep learning?,Coding,Hard
Meta,AI Engineer,89,What is reinforcement learning?,Coding,Medium
Meta,AI Engineer,90,How do you optimize model performance?,Coding,Medium
Meta,DevOps Engineer,91,Explain CI/CD pipeline.,System Design,Medium
Meta,DevOps Engineer,92,How do you monitor server performance?,Coding,Medium
Meta,DevOps Engineer,93,Describe a time you handled deployment failures.,Behavioral,Medium
Meta,DevOps Engineer,94,How would you scale infrastructure for high traffic?,System Design,Hard
Meta,DevOps Engineer,95,Explain containerization and orchestration.,Coding,Medium
Meta,QA Engineer,96,Explain different testing strategies.,Coding,Medium
Meta,QA Engineer,97,How do you write automated tests?,Coding,Medium
Meta,QA Engineer,98,Describe a challenging bug you found.,Behavioral,Medium
Meta,QA Engineer,99,Explain performance testing.,Coding,Hard
Meta,QA Engineer,100,How do you ensure software quality in releases?,Behavioral,Medium
Apple,Software Engineer,101,Explain the difference between a process and a thread.,Coding,Medium
Apple,Software Engineer,102,How would you design a scalable chat application?,System Design,Hard
Apple,Software Engineer,103,Describe a time you optimized code for performance.,Behavioral,Medium
Apple,Software Engineer,104,Explain memory management in programming languages.,Coding,Medium
Apple,Software Engineer,105,How do you handle merge conflicts in Git?,Coding,Easy
Apple,Data Scientist,106,Explain bias-variance tradeoff.,Coding,Medium
Apple,Data Scientist,107,How would you handle missing values?,Coding,Medium
Apple,Data Scientist,108,Describe a predictive model you built.,Behavioral,Medium
Apple,Data Scientist,109,How do you evaluate a machine learning model?,Coding,Hard
Apple,Data Scientist,110,Explain PCA and when to use it.,Coding,Medium
Apple,AI Engineer,111,Explain supervised vs unsupervised learning.,Coding,Medium
Apple,AI Engineer,112,Describe a neural network you implemented.,Coding,Hard
Apple,AI Engineer,113,How do you prevent overfitting in deep learning?,Coding,Hard
Apple,AI Engineer,114,What is reinforcement learning?,Coding,Medium
Apple,AI Engineer,115,How do you optimize model performance?,Coding,Medium
Apple,DevOps Engineer,116,Explain CI/CD pipeline.,System Design,Medium
Apple,DevOps Engineer,117,How do you monitor server performance?,Coding,Medium
Apple,DevOps Engineer,118,Describe a time you handled deployment failures.,Behavioral,Medium
Apple,DevOps Engineer,119,How would you scale infrastructure for high traffic?,System Design,Hard
Apple,DevOps Engineer,120,Explain containerization and orchestration.,Coding,Medium
Apple,QA Engineer,121,Explain different testing strategies.,Coding,Medium
Apple,QA Engineer,122,How do you write automated tests?,Coding,Medium
Apple,QA Engineer,123,Describe a challenging bug you found.,Behavioral,Medium
Apple,QA Engineer,124,Explain performance testing.,Coding,Hard
Apple,QA Engineer,125,How do you ensure software quality in releases?,Behavioral,Medium
Google,Software Engineer,126,Explain the difference between a process and a thread.,Coding,Medium
Google,Software Engineer,127,How would you design a scalable chat application?,System Design,Hard
Google,Software Engineer,128,Describe a time you optimized code for performance.,Behavioral,Medium
Google,Software Engineer,129,Explain memory management in programming languages.,Coding,Medium
Google,Software Engineer,130,How do you handle merge conflicts in Git?,Coding,Easy
Google,Data Scientist,131,Explain bias-variance tradeoff.,Coding,Medium
Google,Data Scientist,132,How would you handle missing values?,Coding,Medium
Google,Data Scientist,133,Describe a predictive model you built.,Behavioral,Medium
Google,Data Scientist,134,How do you evaluate a machine learning model?,Coding,Hard
Google,Data Scientist,135,Explain PCA and when to use it.,Coding,Medium
Google,AI Engineer,136,Explain supervised vs unsupervised learning.,Coding,Medium
